Date,momentum_30,momentum_90,volatility_30,volatility_90,moving_average_30,moving_average_90,volume_ratio_30,volume_ratio_90
2016-08-24 00:00:00-04:00,0.12124742287568724,0.016715301234858204,0.014562991213213325,0.014430433507061404,0.033606915334792875,0.09134340186635259,-0.26851333184822346,-0.36231240481862625
2016-08-25 00:00:00-04:00,0.09477441141862863,0.017783370953493582,0.01431802649702056,0.014426304948181177,0.026158053620143118,0.08646710232922872,-0.21371303293324873,-0.3228253232048576
2016-08-26 00:00:00-04:00,0.08847261323871591,0.009744501028954966,0.014400989175856044,0.01443957942056543,0.017336028241112578,0.07997865703426355,-0.1275486285469858,-0.24983888884152583
2016-08-29 00:00:00-04:00,0.07581516242821085,0.01965206426459032,0.014343964217544278,0.014392376933854423,0.01377437693450978,0.07851755337200084,-0.2058169840957511,-0.32404269407303277
2016-08-30 00:00:00-04:00,0.06712952922936055,0.014601340033500776,0.01446074459189759,0.014413562944504629,0.003874659970551031,0.07005534889768028,-0.2101088095587046,-0.32513279444508614
2016-08-31 00:00:00-04:00,0.06717496659855082,0.021357765800669393,0.014460607919573171,0.014399786531258,0.0027078209763420347,0.07079852224395955,-0.061034369819118695,-0.19528551548532547
2016-09-01 00:00:00-04:00,0.07923334286928929,0.03460953952095691,0.014403210241934224,0.01439059777692469,0.006177773793879959,0.07672533943643045,-0.14937613270770855,-0.26915400067350836
2016-09-02 00:00:00-04:00,0.09784726954283918,0.11401637908986073,0.014316299654112035,0.012753536239249498,0.012550332288733035,0.08547247472798314,-0.14478620851762414,-0.24626342292285963
2016-09-06 00:00:00-04:00,0.11242505864002994,0.14882144143509923,0.013988793760740744,0.012295126610999607,0.008828240327649395,0.08347794113497131,-0.12980346411625754,-0.23076590435871214
2016-09-07 00:00:00-04:00,0.12699908796615422,0.16930137180438076,0.013852004859679308,0.012224103018291117,0.011154959731758174,0.08820883837031901,0.39230225273066965,0.22250712287251662
2016-09-08 00:00:00-04:00,0.0305162380179973,0.1398714319883212,0.009282233835698034,0.012572941768291145,-0.016302230160573528,0.05815942417021458,0.8203680507925344,0.5271085636216322
2016-09-09 00:00:00-04:00,-0.00624279463667643,0.09602816807606218,0.009933046498672835,0.01272635981901214,-0.038389493452775314,0.03315184522546222,0.5868640815824309,0.345840114786643
2016-09-12 00:00:00-04:00,0.017284302985839606,0.13235617086146512,0.010748577955528148,0.012862264180383977,-0.017397523222659417,0.05484631292409459,0.513579265012047,0.30750332725409635
2016-09-13 00:00:00-04:00,0.02343024145075212,0.1640365132431718,0.011136096039387264,0.01306165851693677,0.005221602099702238,0.07813381153911814,1.0236633583126125,0.7798832842771566
2016-09-14 00:00:00-04:00,0.07556930969770725,0.21198722053273933,0.012403982311598692,0.013508746590378356,0.038262412386059985,0.11386909700228287,2.3306264438440407,2.1079296749679255
2016-09-15 00:00:00-04:00,0.09836543233264616,0.2522477716868037,0.013566846216340809,0.013916371606066215,0.07013240659469289,0.1487778680945544,1.550096807981633,1.4779900608980663
2016-09-16 00:00:00-04:00,0.08548187687488307,0.23680700983403669,0.013649015989179926,0.01393585973451974,0.061149195016295455,0.1395471239320223,1.1570288279229564,1.1692790636398143
2016-09-19 00:00:00-04:00,0.05675456297921966,0.23440997761432691,0.013690086455324062,0.0139561916128357,0.04681052263801644,0.12358968047439478,0.26231926568595143,0.2698673796690034
2016-09-20 00:00:00-04:00,0.047983776025114055,0.2639497427251849,0.013641434057553319,0.013683736759122734,0.04504893985947822,0.12056966507439792,-0.078812361361985,-0.05609406973720332
2016-09-21 00:00:00-04:00,0.04356228543542584,0.26121428299701877,0.01363757947898168,0.013686900928069961,0.043348069168858805,0.11749122162534942,-0.047285123012343666,-0.01285868810953228
2016-09-22 00:00:00-04:00,0.061296335347907904,0.22753391044711124,0.013603278701607989,0.013206661654898729,0.05104849539052658,0.12540684172024297,-0.18281425649088578,-0.14010063244878068
2016-09-23 00:00:00-04:00,0.04428830656275817,0.21211411053314166,0.014021596866418616,0.01334119118269587,0.032026592663895626,0.10427759593249175,0.3505597823919133,0.44981248667267804
2016-09-26 00:00:00-04:00,0.04344591088088179,0.200205863613097,0.014020830015189485,0.013305116736219681,0.03210216980650693,0.10368035286967037,-0.23865640249640074,-0.17174698039589287
2016-09-27 00:00:00-04:00,0.03297398722253342,0.20703404545311432,0.01388037001805186,0.013290170547472932,0.0328859115876563,0.1034084596388547,-0.372107342119089,-0.3164289157569582
