Date,momentum_30,momentum_90,volatility_30,volatility_90,moving_average_30,moving_average_90,volume_ratio_30,volume_ratio_90
2023-01-10 00:00:00-05:00,0.1936989838103702,-0.18375991857768825,0.029407783512909846,0.040985643237937616,0.11284660833500015,0.05748293315685382,-0.06450460212919751,-0.2899468826306728
2023-01-11 00:00:00-05:00,0.22164024538642213,-0.1963592230752419,0.0288969289191442,0.04094900341398235,0.10458170118709065,0.05972806662870256,-0.172770640792823,-0.36986099911430725
2023-01-12 00:00:00-05:00,0.24894950478836986,-0.14726786445020879,0.029164775450439117,0.04095449017967981,0.12781840228637975,0.09247595848637746,-0.0065768068939336954,-0.2393359547117695
2023-01-13 00:00:00-05:00,0.1598643251539773,-0.13599098511850027,0.025898364154927828,0.0409409925182767,0.12420889564120174,0.09673285604157722,-0.25905618918070517,-0.4459099403434156
2023-01-17 00:00:00-05:00,0.12387916997799708,-0.156057232027499,0.025930464480890866,0.04093595092028592,0.10639752356651311,0.08618097898781896,-0.28916522280056534,-0.47806326689838885
2023-01-18 00:00:00-05:00,0.07717211341185104,-0.17919301518959785,0.025902127574278858,0.04095337852803448,0.08445505499895312,0.07017471114731744,-0.3051311435852627,-0.5007511254808445
2023-01-19 00:00:00-05:00,0.11206386907535437,-0.195093161721701,0.02607809123946352,0.04075847921606034,0.10584958111149834,0.0985970738504649,-0.008280725904565855,-0.2943283984372753
2023-01-20 00:00:00-05:00,0.22125827158630518,-0.17513013864708238,0.022502839129166455,0.040844776345983956,0.12431737808341614,0.1275708180089683,0.011437071077516903,-0.293823171541542
2023-01-23 00:00:00-05:00,0.25752651153511463,-0.06438978418735763,0.022761907163585855,0.03974958763662724,0.14673174087551133,0.1601518567369722,-0.029250652788570752,-0.32066306648437504
2023-01-24 00:00:00-05:00,0.2411338429552381,-0.05499457076007841,0.02280200317288374,0.039732645400132695,0.13725307408598741,0.15996845908118718,-0.21561678367250559,-0.4535083048956454
2023-01-25 00:00:00-05:00,0.22087995848990793,-0.05382825157980853,0.02306000939468,0.039728411049717145,0.11665270477299439,0.14751023525802665,-0.050202866231016885,-0.3363338716109431
2023-01-26 00:00:00-05:00,0.2841076861891976,0.006904098149288274,0.023633499813828486,0.03988824265610112,0.15254304699413623,0.19443727233232888,-0.09166521805307992,-0.3621640602893854
